indextools\\.js:IndexTools
static\\.scribefire\\.com\\/ads\\.js:ScribeFire QuickAds
(static\\.getclicky\\.com\\/|clicky\\.js):Clicky
statisfy\\.net\\/javascripts\\/stats\\.js:Statisfy
gmodules\\.com\\/:Google Widgets
rate\\.thummit\\.com\\/js\\/:Thummit
twitter\\.com\\/(javascripts\\/[0-9a-z]+\\.js|statuses\\/user_timeline\\/):Twitter Badge
widgets\\.twimg\\.com\\/j\\/:Twitter Badge
analytics\\.live\\.com\\/:Microsoft Analytics
(pub\\.lookery\\.com\\/js\\/|lookery\\.com\\/look\\.js|\\/j\\/pub\\/look\\.js):Lookery
google-analytics\\.com\\/(urchin\\.js|ga\\.js):Google Analytics
\\/__utm\\.:Google Analytics
\\.mybloglog\\.com\\/:MyBlogLog
(\\.quantserve\\.com\\/|\\/quant\\.js):Quantcast
sitemeter\\.com\\/(js\\/counter\\.js|meter\\.asp):SiteMeter
www\\.lijit\\.com\\/informers\\/wijits:Lijit
\\.lijit\\.com\\/delivery:Lijit
\\.1[12]2\\.2o7\\.net\\/:Omniture
hitbox\\.com:Omniture
\\.omtrdc\\.net\\/:Omniture
\\/(omniture|mbox|hbx|omniunih)(.*)?\\.js:Omniture
s(c)?_code[0-9a-zA-Z_-]*(\\.[0-9a-zA-Z_-]*)?\\.js:Omniture
common\\.onset\\.freedom\\.com\\/fi\\/analytics\\/cms\\/:Omniture
cetrk\\.com\\/:Crazy Egg
dnn506yrbagrg\\.cloudfront\\.net:Crazy Egg
(shots\\.snap\\.com\\/snap_shots\\.js|spa\\.snap\\.com\\/snap_preview_anywhere\\.js):Snap
\\.statcounter\\.com\\/counter\\/(counter[0-9a-zA-Z_]*|frames)\\.js:Statcounter
c\\.statcounter\\.com\\/:Statcounter
\\/mint\\/\\?js:Mint
(stats\\.wordpress\\.com\\/|s\\.stats\\.wordpress\\.com\\/w\\.js):Wordpress Stats
\\/salog\\.js\\.aspx:HubSpot
(\\.analytics\\.yahoo\\.com\\/indextools\\.js|ystat\\.js|\\.yimg\\.com\\/.*\\/ywa\\.js|\\.visualrevenue\\.com\\/):Yahoo Analytics
\\/js_source\\/whv2_001\\.js:Yahoo Analytics
visit\\.webhosting\\.yahoo\\.com:Yahoo Analytics
otracking\\.com\\/js:OrangeSoda
analytics\\.engagd\\.com\\/archin-std\\.js:Engagd
\\.nuggad\\.net\\/bk:Nugg.Ad
gwp\\.nuggad\\.net:Nugg.Ad
\\.fmpub\\.net\\/:Federated Media
(bid|d[0-9]?)\\.openx\\.(org|net)\\/:OpenX
\\/(adg|adx)\\.js:OpenX
\\/(afr|ajs|avw)\\.php:OpenX
